"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 24 14:58:13 GMT 2025","Wed Sep 24 14:58:13 GMT 2025","65","","","","","","Get booking by ID",""
"failed","Wed Sep 24 14:58:13 GMT 2025","Wed Sep 24 14:58:13 GMT 2025","126","","","","","","Delete booking",""
"passed","Wed Sep 24 14:58:14 GMT 2025","Wed Sep 24 14:58:14 GMT 2025","45","","","","","","Get booking with invalid ID",""
"passed","Wed Sep 24 14:58:13 GMT 2025","Wed Sep 24 14:58:13 GMT 2025","52","","","","","","Create booking with multiple valid payloads",""
"passed","Wed Sep 24 14:58:13 GMT 2025","Wed Sep 24 14:58:13 GMT 2025","43","","","","","","Create booking with multiple valid payloads",""
"passed","Wed Sep 24 14:58:13 GMT 2025","Wed Sep 24 14:58:13 GMT 2025","39","","","","","","Create booking with missing or invalid required fields",""
"passed","Wed Sep 24 14:58:14 GMT 2025","Wed Sep 24 14:58:14 GMT 2025","50","","","","","","Update booking with invalid ID",""
"passed","Wed Sep 24 14:58:13 GMT 2025","Wed Sep 24 14:58:13 GMT 2025","50","","","","","","Create booking with multiple valid payloads",""
"passed","Wed Sep 24 14:58:13 GMT 2025","Wed Sep 24 14:58:13 GMT 2025","201","","","","","","Create a new booking",""
"passed","Wed Sep 24 14:58:13 GMT 2025","Wed Sep 24 14:58:13 GMT 2025","53","","","","","","Create booking with missing or invalid required fields",""
"passed","Wed Sep 24 14:58:13 GMT 2025","Wed Sep 24 14:58:14 GMT 2025","41","","","","","","Delete booking with invalid ID",""
"passed","Wed Sep 24 14:58:13 GMT 2025","Wed Sep 24 14:58:13 GMT 2025","31","","","","","","Create booking without authentication",""
"passed","Wed Sep 24 14:58:13 GMT 2025","Wed Sep 24 14:58:13 GMT 2025","37","","","","","","Create booking with missing or invalid required fields",""
"passed","Wed Sep 24 14:58:13 GMT 2025","Wed Sep 24 14:58:13 GMT 2025","46","","","","","","Create booking with edge case values",""
"passed","Wed Sep 24 14:58:12 GMT 2025","Wed Sep 24 14:58:12 GMT 2025","353","","","","","","Create booking with edge case values",""
"passed","Wed Sep 24 14:58:13 GMT 2025","Wed Sep 24 14:58:13 GMT 2025","51","","","","","","Create booking with edge case values",""
"passed","Wed Sep 24 14:58:12 GMT 2025","Wed Sep 24 14:58:13 GMT 2025","45","","","","","","Create booking with edge case values",""
"passed","Wed Sep 24 14:58:13 GMT 2025","Wed Sep 24 14:58:13 GMT 2025","55","","","","","","Update booking",""
